Year,Month,Airline,Flights,Passengers,PLF,PaxKm,MarketShare,FlightHours,Date,MonthName
2015,7,AirAsia India,989,142636.0,80.228,155029.0,1.056908689538741,1589.4,2015-07-01,Jul 2015
2015,7,Alliance Air,946,30552.0,60.736,17401.0,0.22638516421371616,1353.0,2015-07-01,Jul 2015
2015,7,Go First,3909,566402.0,81.2,528659.0,4.19694323713594,7447.0,2015-07-01,Jul 2015
2015,7,IndiGo,18471,2416916.0,78.439,2470014.0,17.90893969464382,32872.0,2015-07-01,Jul 2015
2015,7,Jet Airways,12878,1329409.0,81.018,1128803.0,9.850696346301131,20947.0,2015-07-01,Jul 2015
2015,7,JetLite,1800,201874.0,80.06,187992.0,1.495852272861997,2947.0,2015-07-01,Jul 2015
2015,7,SpiceJet,6940,831436.0,93.352,707098.0,6.160800451466198,8978.0,2015-07-01,Jul 2015
2015,7,Total Domestic,57078,6747792.0,80.189,6372872.705,50.0,95562.85,2015-07-01,Jul 2015
2015,7,TruJet,144,8345.0,80.738,3391.0,0.06183504174402531,190.0,2015-07-01,Jul 2015
2015,7,Vistara,1063,94871.0,60.315,95612.0,0.7029781000955572,1686.45,2015-07-01,Jul 2015
2015,8,Air Costa,883,62026.0,77.325,51422.0,0.4604500393222819,1282.5,2015-08-01,Aug 2015
2015,8,Air India,8753,1058866.0,79.652,1029339.0,7.860492234498877,15650.0,2015-08-01,Aug 2015
2015,8,Air India Express,64,17014.0,89.827,9519.0,0.1263034367689244,113.18,2015-08-01,Aug 2015
2015,8,Air Pegasus,292,14480.0,77.078,6305.01,0.10749228661185055,335.43,2015-08-01,Aug 2015
2015,8,AirAsia India,1026,134408.0,72.12,144349.0,0.9977778493733155,1631.3,2015-08-01,Aug 2015
2015,8,Alliance Air,854,29539.0,62.238,17581.0,0.2192827799880838,1287.0,2015-08-01,Aug 2015
2015,8,Go First,4072,549462.0,75.586,505306.0,4.0789314078950705,7506.22,2015-08-01,Aug 2015
2015,8,IndiGo,18510,2384943.0,76.84,2431071.0,17.70462544951151,32595.43,2015-08-01,Aug 2015
2015,8,Jet Airways,12938,1333154.0,80.797,1133189.0,9.89666932774413,20705.0,2015-08-01,Aug 2015
2015,8,JetLite,1830,204803.0,78.744,189635.0,1.520355164017046,2960.0,2015-08-01,Aug 2015
2015,8,SpiceJet,6960,829670.0,92.123,709557.871,6.1590556238435115,8976.0,2015-08-01,Aug 2015
2015,8,Total Domestic,57561,6735367.0,78.989,6335025.881,50.0,95132.48,2015-08-01,Aug 2015
2015,8,TruJet,300,17932.0,83.736,7723.0,0.1331182101881011,418.04,2015-08-01,Aug 2015
2015,8,Vistara,1079,99070.0,62.903,100029.0,0.7354461902372952,1672.38,2015-08-01,Aug 2015
2015,9,Air Costa,839,59341.0,78.929,50220.0,0.44702510334362217,1230.0,2015-09-01,Sep 2015
2015,9,Air India,8364,990986.0,77.21,949092.0,7.465253687367633,14905.0,2015-09-01,Sep 2015
2015,9,Air India Express,66,15460.0,82.557,9054.0,0.11646261602757618,117.35,2015-09-01,Sep 2015
2015,9,Air Pegasus,318,15271.0,73.23,6401.0,0.11503884924690269,365.24,2015-09-01,Sep 2015
2015,9,AirAsia India,1017,124861.0,67.686,133601.0,0.9405975873104261,1599.8,2015-09-01,Sep 2015
2015,9,Alliance Air,898,29211.0,62.329,16390.0,0.22005106576853348,1173.0,2015-09-01,Sep 2015
2015,9,Go First,4085,579120.0,79.828,535519.0,4.3626022117651955,7316.59,2015-09-01,Sep 2015
2015,9,IndiGo,18402,2430449.0,79.415,2489033.0,18.308955282122024,32127.4,2015-09-01,Sep 2015
2015,9,Jet Airways,12646,1272577.0,77.879,1072992.0,9.586523060577285,20154.0,2015-09-01,Sep 2015
2015,9,JetLite,1700,184198.0,74.936,163819.0,1.3875925580237696,2715.0,2015-09-01,Sep 2015
2015,9,SpiceJet,6767,818950.0,93.015,702162.801,6.169279391706566,8593.0,2015-09-01,Sep 2015
2015,9,Total Domestic,56510,6637323.0,79.321,6232045.801,50.0,92384.81,2015-09-01,Sep 2015
2015,9,TruJet,340,19321.0,78.953,6287.0,0.14554813740419142,466.29,2015-09-01,Sep 2015
2015,9,Vistara,1068,97578.0,62.385,97475.0,0.7350704493362761,1622.14,2015-09-01,Sep 2015
2015,10,Air Costa,773,57942.0,78.431,50267.0,0.41337012871105316,972.11,2015-10-01,Oct 2015
2015,10,Air India,8812,1015358.0,74.735,980553.0,7.243772516443987,15867.0,2015-10-01,Oct 2015
2015,10,Air India Express,43,11644.0,77.741,4750.0,0.08307068756189814,68.0,2015-10-01,Oct 2015
2015,10,Air Pegasus,383,19484.0,77.288,8089.0,0.13900285781999513,428.14,2015-10-01,Oct 2015
2015,10,AirAsia India,1048,150139.0,80.601,163238.0,1.071122463058728,1600.0,2015-10-01,Oct 2015
